Title,Link,Contents,Date,Summarized
"Mom says pregnant Texas teen found dead was ""there at the wrong time""",https://www.cbsnews.com/news/savanah-nicole-soto-texas-pregnant-teen-death-family-speaks-out/,"The family of Savanah Nicole Soto, a pregnant 18-year-old who was missing for several days before she and her boyfriend were found dead in a vehicle in San Antonio, Texas, is speaking out about the teen's death. Soto was last seen at her apartment on Friday, Dec. 22, just one day before she was scheduled to be induced to give birth, a week past her due date. She lived in the apartment with her boyfriend, Matthew Guerra, who was also reported missing. On Tuesday, the bodies of a woman and man, believed to be the missing couple, were found in a vehicle by a searcher who contacted Soto's family, who then called police. The woman was pregnant, police said, and the unborn child was also dead. In a statement Wednesday, police said the victims, an 18-year-old woman and 22-year-old man, each had a gunshot wound. CBS affiliate KENS reports the investigation has been categorized as a capital murder case. San Antonio Police Chief Bill McManus called it a ""very, very perplexing crime scene"" and said investigators were looking into the possibility of homicide. ""We believe it was the missing woman and her boyfriend but we can't confirm that"" until the medical examiner completes the examination, McManus said. Soto's mother, Gloria Cordova, tells CBS News that she believes her daughter was in the wrong place at the wrong time. ""I think it had something to do with him and things that he was doing, not my daughter,"" Cordova said, referring to Matthew Guerra. ""My daughter just was there with him and they didn't want ... they didn't want someone to say what happened, somebody that's going to say it's so-and-so or this is what he looked like. She just was there at the wrong time.""  Soto's mother and aunt both said that the relationship between Soto and Guerra had been abusive. ""He used to abuse her,"" Soto's mother said. ""And I told her to get out of the relationship, but she ??she was hard-headed, she wouldn't listen. But I think this time she was going to leave him already. That's what I'm hearing."" Soto's aunt, Laura Cordova, said the couple ""would fight a lot,"" describing their relationship as ""rocky."" She said her niece had had bruises and that Guerra ""would hit her throughout her pregnancy.""  Police have not commented on or verified allegations of abuse. Soto's mother said that the couple had disagreed about whether she should be in the delivery room when Soto gave birth. Cordova said that Guerra had not wanted her in the room, but her daughter said she could be there. CBS News has reached out to Guerra's family but has not heard back. Guerra's father spoke with CBS affiliate KENSand acknowledged his son had a criminal history, including an assault charge involving Savanah last year. ""He didn't hang around the best crowd,"" Guerra's father told the station. However, he said the two had been in a good place since living together and were excited about the baby, a boy they planned to name Fabian. ""They were inseparable. Was it a perfect relationship? No, but she definitely was not a prisoner there,"" he said. ""Her and Matthew were both overjoyed and couldn't wait for Fabian's arrival."" Soto's brother, Jordan Corona, told CBS News that police told him there was no weapon found at the scene, and that both Guerra and Soto were shot in the back of the head.  Laura Cordova said a detective told her that Guerra was found slumped over in the backseat of the vehicle, and that Soto was in the front. Soto was holding a car seat, according to her mother. ""She had the car seat on her lap, so she was going to the hospital,"" Gloria Cordova said. Police have said that the car might have been at the location where it was found ""possibly for three or four days."" Soto's relatives expressed shock and grief at the loss of the teen and her baby. The family lost another child just last year ??Soto's brother, Ethan. Laura Cordova said she saw her niece just days before her disappearance that Soto was ""counting the days"" and excited to be a mother. ""I wish she was here with her baby,"" Laura Cordova told CBS News, through tears. Gloria Cordova said her daughter ""was like a mini mom"" who was looking forward to motherhood. ""She was like my backbone. She's the one that kept me going,"" she said. ""I don't want to believe that she's gone. It hurts too much. She was my only daughter."" She said Soto's brothers are ""shattered"" by the loss of their sister. ""It broke my heart when they told me she passed away. And even knowing how she passed away, it kills me so bad,"" Cordova said. ""But now I just have to think now she's with her brother in heaven. She's not feeling no pain no more."" Kerry Breen is a reporter and news editor at CBSNews.com. A graduate of New York University's Arthur L. Carter School of Journalism, she previously worked at NBC News' TODAY Digital. She covers current events, breaking news and issues including substance use.",2023-12-28,"Soto's aunt said the couple ""would fight a lot,"" describing their relationship as ""rocky"" ""He used to abuse her,"" Soto's mother said. Police have said that the car might have been at the location where it was found ""possibly for three or four days"
Biden announces $250 million in additional military aid for Ukraine,https://www.cbsnews.com/news/biden-ukraine-military-aid-250-million-final-package-2023/,"The Biden administration Wednesday announced a $250 million military assistance package for Ukraine. The aid package ??the final of 2023 ??will include arms and equipment, including air defense munitions, anti-armor munitions, ammunition for high mobility artillery rocket systems, and more than 15 million rounds of small arms ammunition, a State Department spokesperson said to CBS News. ""Our assistance has been critical to supporting our Ukrainian partners as they defend their country and their freedom against Russia's aggression,"" Secretary of State Antony Blinken said in a statement, urging Congress to ""swiftly"" approve further aid to Ukraine. The U.S. ""continued to demonstrate its enduring commitment to Ukraine's defense against Russia's brutal aggression with the announcement of additional arms and equipment to help Ukraine defend its territory and protect its people,"" the State Department spokesperson said. The announcement came after President Biden hosted Ukrainian President Volodymyr Zelenskyy at the White House earlier this month. It also came as Ukraine's allies have dramatically scaled back their funding of Ukraine, which has fallen to its lowest level since the start of the war, according to the German-based Kiel Institute'sUkraine aid tracker. Earlier this month, Senate Republicansblocked additional Ukraine fundingover a dispute with Democrats over U.S. border security. On Dec. 14, Hungaryblocked about $55 billion in European Union aid for Ukraine. ""The decisions we make now are going to determine the future for decades to come, particularly in Europe,"" Mr. Biden said during his meeting with Zelenskyy. ""And this is one of those moments. Congress needs to pass the supplemental funding for Ukraine before they break for the holiday recess, before they give [Vladimir] Putin the greatest Christmas gift they could possibly give him."" ?擬argaret Brennan contributed to this report. Editor's note: A previous version of this story incorrectly stated that the $250 million in military aid to Ukraine needs congressional approval. S. Dev is a news editor for CBSNews.com.",2023-12-28,"The Biden administration announced a $250 million military assistance package for Ukraine. The aid package will include arms and equipment, including air defense munitions, anti-armor munitions, ammunition for high mobility artillery rocket systems."
"New Year's partiers paying $12,500 to ring in 2024 in Times Square",https://www.cbsnews.com/news/new-years-eve-times-square-tickets-cost/,"Some New Year's Eve revelers say you can't put a price on the experience of watching the Times Square ball drop live and in-person on December 31. But business owners in the tourist mecca have done just that ??with prices of up to $12,500. Hotels and restaurants near One Times Square, the site of the famed New Year's Eve ball drop in Times Square, are offering exclusive New Year's Eve party packages, with tickets costing between $450 and $12,500. The tickets typically include access to food, drinks and live entertainment, while some offer views of the Big Ball. Although attending the world famous event is free for those watching from the sidewalks below, some people are ponying up for NYE party packages in Times Square that offer a little extra comfort. Here are some spots in Times Square that are offering some of the more expensive ways to kick off 2024. At Olive Garden's Time Square location, New Year's Eve revelers can welcome 2024 at a slightly more modest price point than some of the other chain restaurants and hotels. Tickets cost $450 each,accordingto the event organizer's website. The ticket includes a complimentary buffet, open bar, live entertainment and a complimentary champagne toast at midnight. However, a live view of the ball drop is not guaranteed, according to the event's organizers. Party people with more money to burn can ring in the new year at one of two Applebee's locations in Times Square. Tickets start at $799, event organizer Ball Drop's website shows. The restaurant chain's New Year's Eve package includes a buffet with entrees such as steak and salmon, hors d'oeuvres, a house DJ, party favors, a champagne toast and a ""top shelf"" open bar, which is open from 7 p.m. to midnight. The ticket also includes an escort to the street to catch a glimpse of the ball drop. Bubba Gump is another restaurant chain offering ball drop views at jaw-dropping prices. The restaurant's all-inclusive ticket costs $1,015, the company's websiteshows. The admission price covers live entertainment, party favors, a champagne toast and a full buffet, in addition to hors d'oeuvres. The Knickerbocker Hotel, a member of the The Leading Hotels of the World, is hosting a swanky rooftop party just 150 feet from the Times Square Ball. Tickets cost between $1,995 and $3,995, depending on the package, the hotel's websiteshows. The Knickerbocker's NYE Platinum Party package includes a cocktail party, dance floor with DJ and a banquet dinner with caviar, seafood and roasted meats. At the end of the night, attendees toast each other with glasses of Dom P茅rignon champagne. The Marriott Marquis hotel is offering New Year's Eve experiences for between $1,350 and $12,500, depending on the package, according to Ball Drop. The Prime VIP Couple's Package, which costs $12,500 for two people, guarantees seating next to floor-to-ceiling windows looking out onto the Times Square Ball. Its other perks include a bottle of champagne, butler and coat check services, hors d'oeuvres and access to an open bar and dinner buffet. As of Wednesday afternoon, the Prime VIP Couple's Package had only one ticket remaining. Elizabeth Napolitano is a freelance reporter at CBS MoneyWatch, where she covers business and technology news. She also writes for CoinDesk. Before joining CBS, she interned at NBC News' BizTech Unit and worked on the Associated Press' web scraping team.",2023-12-28,"Hotels and restaurants near One Times Square are offering exclusive New Year's Eve party packages, with tickets costing between $450 and $12,500. The tickets typically include access to food, drinks and live entertainment."
House GOP request documents on Biden's involvement in Hunter Biden defying subpoena,https://www.cbsnews.com/news/hunter-biden-defying-subpoena-house-republicans-documents-white-house/,"Washington ??The Republican leaders of the House Oversight and Judiciary Committees on Wednesday asked the White House to turn over information about President Biden's alleged involvement in his son Hunter Biden's decision not to comply with a congressional subpoena for a deposition, expanding its impeachment inquiry into the president. In a letter to White House counsel Edward Siskel, Reps. James Comer and Jim Jordan requested documents and communications between White House staff in the Executive Office of the President and Hunter Biden or his lawyers regarding his scheduled deposition, which was supposed to happen on Dec. 13. But Hunter Biden defied the subpoena from the Oversight Committee for a closed-door interview with lawmakers, appearing briefly outside the U.S. Capitol to reiterate that he would answer questions only in a public setting. White House press secretary Karine Jean-Pierre told reporters later that day that the president was ""familiar with"" what his son was going to say in his statement. ""In light of Ms. Jean-Pierre's statement, we are compelled to examine the involvement of the President in his son's scheme to defy the Committees' subpoenas,"" Comer, who leads the Oversight Committee, and Jordan, chairman of the Judiciary panel, said in their letter to Siskel. They argued that Jean-Pierre's remark suggests that Mr. Biden ""had some amount of advanced knowledge"" that Hunter Biden would refuse to comply with the subpoena for testimony. The Republicans set a Jan. 10 deadline for the White House to provide the records regarding Hunter Biden's deposition. They are also seeking documents from staff in the Executive Office of the President related to a comment Mr. Biden made on Dec. 6 denying that he interacted with his son and brother's foreign business associates. Comer and Jordan said the president's ""advanced awareness"" that his son would not answer questions from lawmakers behind closed doors ""raises a troubling new question that we must examine: whether the President corruptly sought to influence or obstruct the Committees' proceeding by preventing, discouraging, or dissuading his son from complying with the Committees' subpoenas."" ""Such conduct could constitute an impeachable offense,"" they wrote. Beyond Jean-Pierre's comment, it's unclear how much Mr. Biden knew about his son's plan not to appear for the deposition. Hunter Biden told reporters on Dec. 13 that he would answer at a public hearing ""any legitimate questions"" from Comer and Oversight Committee members, and accused the GOP leaders of the three committees conducting the impeachment inquiry of ""distorting the facts."" Republicans have been investigating Hunter Biden's foreign business dealings for nearly a year and claim Mr. Biden was enriched by his son and brother's overseas work and accepted bribes. They have produced no evidence of wrongdoing by the president or that he benefited financially from his family's business ventures. Still, then-House Speaker Kevin McCarthy announced in September that he would be launching a formal impeachment inquiry into the president, and the House's GOP majority voted earlier this month to formalize the probe. Comer and Jordan said they will pursue proceedings to hold Hunter Biden in contempt of Congress for defying the subpoena from Republicans. Melissa Quinn is a politics reporter for CBSNews.com. She has written for outlets including the Washington Examiner, Daily Signal and Alexandria Times. Melissa covers U.S. politics, with a focus on the Supreme Court and federal courts.",2023-12-28,"Rep. James Comer and Jim Jordan ask White House to turn over documents. They want information about President Biden's alleged involvement in his son's decision not to comply with a congressional subpoena. Rep. Hunter Biden told reporters on Dec. 13 that he would answer ""any legitimate questions"""
Social Security beneficiaries could see these big changes in 2024,https://www.cbsnews.com/news/social-security-cola-maximum-payment-2024-taxes/,"Social Security recipients could face some big changes in 2024, thanks to inflation and tax-related adjustments that will impact everything from monthly benefits to how much recipients owe in taxes. For one, the top benefit in 2024 will approach $5,000 per month. The old-age and disability program provides monthly payments to more than 70 million people, ranging from children to retirees. Those benefits are credited with keeping millions of Americans from slipping into poverty, with monthly checks adjusted each year to keep up with inflation. In 2024, benefits will increase by 3.2%. Many of the changes in 2024 are related tocost-of-living adjustments which will not only boost recipients' monthly income, but potentially subject more of their earnings to taxes, experts say. That can be a surprise to some Social Security beneficiaries who mistakenly believe their checks are tax-free. ""There is a wide misperception, and it's not helped by social media at all, that Social Security recipients don't pay taxes, and that's not at all the case,"" said Mary Johnson, Social Security and Medicare policy analyst at the Senior Citizens League. Understanding your tax liability for Social Security payments is important because otherwise a senior citizen might not have saved enough for their golden years, Johnson added. ""You might have to save 20% more than you thought you might need, or 25% more,"" she said. Here are some of the changes to expect in 2024. The Social Security Administration announced its annual COLA in October, pegging the 2024 change on the most recent inflation data. Seniors and other recipients will get an increase of 3.2%, a much smaller boost than the 2023 and 2022 increases of 8.7% and 5.9%, respectively. The average benefit will rise to $1,907 per month in 2024 from $1,848 this year. But retirees who receive the maximum Social Security payout will see much higher earnings, with their monthly checks jumping to $4,873 in 2024, according to the agency. That's about an additional $170 per month in each paycheck compared with the current year. So who gets the top payout? Not many people, noted Johnson. ""The only way to get it is if you're [Apple CEO] Tim Cook and you have been paying the maximum"" into your payroll taxes, she joked. ""It's like the 1% to 2%."" The Social Security Administration says that the top benefit is received by people who have earned the maximum taxable earnings since age 22, and then waited to claim their benefits at age 70. Workers pay Social Security tax up to a maximum income level, which was $160,200 in 2023. Earnings above that threshold aren't taxed for Social Security. And while people can claim their Social Security benefits as early as 62 years old, they can increase their monthly checks if they delay claiming, with the maximum payout going to those who wait until they turn 70 years old to claim. For instance, top earners who claim at 62 years old would get $2,710 per month in 2024. More Social Security beneficiaries could see a higher tax bill in 2024 because of a quirk in the Social Security system. Beneficiaries must pay federal income taxes on their benefits if they earn above a relatively modest threshold. This threshold hasn't changed since 1984, even though inflation and benefits have risen considerably since then. More seniors are subject to income tax on their retirement income each year because their benefits generally rise each year with the COLA. And many have incomes from sources other than Social Security, such as IRAs or 401(k)s, which can cause more of their Social Security benefit to face taxes. Here are the thresholds: Fewer than 10% of Social Security recipients paid taxes on their benefits in 1984, but that's risen to about 40% currently, according to the Social Security Administration. ""We are dealing with the tax side of inflation here, and inflation can drive up your taxes"" because the threshold hasn't changed in almost 40 years, Johnson noted. Some workers may also face higher taxes for Social Security in 2024. That's because the IRS adjusts the maximum earnings threshold for Social Security each year to keep up with inflation. In 2023, workers paid Social Security taxes on income up to $160,200. For an individual, the tax rate is 6.2% of earnings, with their employer paying another 6.2% into the program. But that threshold will rise to $168,600 in 2024, which means higher earners are likely to face higher Social Security taxes next year. Correction: An earlier version of this story on December 27, 2023, misstated that the additional monthly increase was $318. Aimee Picchi is the associate managing editor for CBS MoneyWatch, where she covers business and personal finance. She previously worked at Bloomberg News and has written for national news outlets including USA Today and Consumer Reports.",2023-12-28,Social Security recipients could face some big changes in 2024. Inflation and tax-related adjustments will impact everything from monthly benefits to how much recipients owe in taxes. People can claim their Social Security benefits as early as 62 years old.
"As base pay rises, some companies are fighting back with fees, layoffs",https://www.cbsnews.com/news/doordash-pizza-hut-minimum-wage-hikes-california-new-york-city/,"An estimated 10 million low-wage earners are getting a raise in the new year, but not all employers are taking higher minimum wages across 22 states in stride. Pizza Hut islaying off more than 1,200 delivery drivers in California ahead of the state's nearly 30% increase in its minimum wage, to $20 an hour from $16. PacPizza, operating as Pizza Hut, and Southern California Pizza Co. ??another Pizza Hut franchise, both gave notice of layoffs impacting workers in cities throughout the state, Business Insiderreported, citing notices filed with the state. At least one Pizza Hut franchisee also charges a service fee, citing the increased cost of operating in California in its tacking on an 8.5% service charge to the bill, according to the Los Angeles Times. ""Pizza Hut is aware of the recent changes to delivery services at certain franchise restaurants in California. Our franchisees independently own and operate their restaurants,"" a Pizza Hut spokesperson told CBS MoneyWatch in an emailed statement. ""Where franchisees have elected to make changes to their staffing approach, access to delivery service will continue to be available via Pizza Hut's mobile app, website and phone ordering,"" the spokesperson added. Fast-food chains including McDonald's have already said menu prices would rise in the state to counter the higher labor costs. The Golden Arches in November said its menu prices rosejust over 10% nationwide this year, with CEO Chris Kempczinski telling analysts in an earnings call that ""there will certainly be a hit in the short-term to franchisee cash flow in California."" On the other side of the country, DoorDash is getting rid of tipping prompts in New York City and upping its service fee to all transactions, but is still letting customers add gratuity once the delivery is finished, the delivery app said. The changes come in response to a new minimum wage hike for app-based food delivery workers in New York City, who must be paid at least $17.96 an hour plus tips, or what DoorDash called ""the ill-conceived, extreme minimum pay rate for food delivery workers in New York City [that] will have significant consequences for everyone who uses our platform."" The switch in tipping policy also comes a month after DoorDash told users that customers who don't tip may have to wait longer for their food deliveries. ""New regulations have changed how delivery apps like Uber Eats work in New York City,"" Uber stated in a blog, limiting work-time options for its couriers. Kate Gibson is a reporter for CBS MoneyWatch in New York.",2023-12-28,DoorDash is getting rid of tipping prompts in New York City and upping its service fee to all transactions. The changes come in response to a new minimum wage hike for app-based food delivery workers.
Apple Watch ban is put on hold by appeals court,https://www.cbsnews.com/news/apple-watch-ban-on-hold-appeals-court-ruling/,"Apple won a temporary reprieve in the legal battle over its Apple Watch product, with an appeals court on Wednesday ordering a pause on a ban of the product that went into effect on Tuesday. The court gave the U.S. International Trade Commission (ITC) until January 10 to respond to Apple's request for a longer stay while the issue moves through the courts, according to the ruling. The Apple Watch ban would have paused sales on the Apple Watch Series 9 and Apple Watch Ultra 2, which include a blood oxygen monitor that is at the center of a patent dispute. The ITC had banned the import of the watches because it ruled that the tech giant had illegally used blood oxygen technology from Masimo, a medical tech company. In a statement provided to CBS News, Apple said it was ""thrilled to return the full Apple Watch lineup to customers in time for the new year.""  It said both models, ""including the blood oxygen feature,"" would be available for purchase in Apple stores in the U.S. beginning Wednesday, and on the company's website starting at noon Pacific time on Thursday. The company also noted that along with the federal appeals process, it was pursuing various legal and technical options, including submitting proposed redesigns of the Series 9 and Ultra 2 to U.S. Customs and Border Protection for approval.  Masimo did not immediately responded to requests for comment. The Biden administrationlet the ITC decision stand on Tuesday, effectively blocking the sale of the watches in the U.S. On Tuesday, Apple filed an emergency motion seeking court permission to begin selling two of its most popular watches again until a final decision on its broader appeal in abitter patent disputeis decided. Apple had cut off sales right before the Christmas holiday. In a motion filed Tuesday, the Cupertino, California-based company said it would suffer ""irreparable harm"" if previous court orders remained for the two weeks it said the U.S. International Trade Commission will take to respond to its appeal. The disruption will likely cost Apple about $300-$400 million in holiday-season sales, estimated Wedbush Securities analyst Dan Ives. That's a relative drop in the bucket for Apple, given that industry analysts are expecting the company to generate nearly $120 billion in sales this quarter, which includes the holiday shopping season. With reporting by the Associated Press. Aimee Picchi is the associate managing editor for CBS MoneyWatch, where she covers business and personal finance. She previously worked at Bloomberg News and has written for national news outlets including USA Today and Consumer Reports.",2023-12-28,"Apple says it is ""thrilled to return the full Apple Watch lineup to customers in time for the new year"" The company filed an emergency motion seeking court permission to begin selling two of its most popular watches again. The ban would have paused sales on the Apple Watch Series 9 and"
"Tom Smothers, half of Smothers Brothers comedy duo, dies at 86",https://www.cbsnews.com/news/tom-smothers-dies-86-comedy-music-smothers-brothers/,"Tom Smothers, the comedian and musician who rose to fame in the 1960s as one half of the iconic Smothers Brothers performing duo, has died, his brother said in a statement. Smothers was 86. ""Tom was not only the loving older brother that everyone would want in their life, he was a one-of-a-kind creative partner,"" said Dick Smothers in a statement published Wednesday by the National Comedy Center. ""I am forever grateful to have spent a lifetime together with him, on and off stage, for over 60 years. Our relationship was like a good marriage ??the longer we were together, the more we loved and respected one another. We were truly blessed."" Dick Smothers said his brother died peacefully on Tuesday at home with his family, according to the National Comedy Center statement. His death followed a recent battle with lung cancer, which was diagnosed at stage II. Tom and Dick Smothers broke new ground with their hit show, ""The Smothers Brothers Comedy Hour,"" which aired on CBS and won an Emmy in 1969. As folk singers and comics, the brothers conjured laughs and stirred controversy. Tom Smothers played guitar and Dick Smothers played bass as both delivered zingers on a range of topics. They were known for a trademark sibling rivalry bit and the accompanying one-liner, ""Mom liked you best!"" Along with their music and comedy, they didn't shy away from confronting the political issues roiling the nation at the time. The duo ""satirized politics, combated racism, protested the Vietnam War, and led the way forSaturday Night Live,The Daily Show, today's network late night shows, and so much more,"" the National Comedy Center wrote in its tribute. The brothers reflected on their iconic career inan interview with ""CBS Sunday Morning""last year. Although Tom said in the interview that he didn't necessarily consider himself to be political while the ""Smothers Brothers"" variety show was on the air, he described himself as socially conscious, and noted that the show's other writers ??a team that included Steve Martin and Rob Reiner ??were too. The brothers looked back fondly on the show and its impact on audiences, as well as their relationship. ""People laughing is holy,"" Tom said. ""And if you can be part of that, and control it, and create it, it's the best thing ever."" Dick added, ""When someone said, 'What's the happiest time in your life,' it's standing on that stage with my brother a few inches away on my right and having that feeling with that audience. That defines my whole life. There's nothing better."" Journey Gunderson, the executive director of the National Comedy Center, praised Smothers' talent as an entertainer as well as the brothers' trailblazing role in melding sketch comedy and performing with political satire. ""Tom Smothers was not only an extraordinary comedic talent, who, together with his brother Dick, became the most enduring comedy duo in history, entertaining the world for over six decades ??but was a true champion for freedom of speech, harnessing the power of comedy to push boundaries and our political consciousness,"" Gunderson said in a statement. Tom Smothers is survived by his wife, Marcy Carriker Smothers, two children, Bo Smothers and Riley Rose Smothers, and a grandson, Phoenix, as well as a sister-in-law and other nieces and nephews. A private memorial service will be held in 2024. Emily Mae Czachor is a reporter and news editor at CBSNews.com. She covers breaking news, often focusing on crime and extreme weather. Emily Mae has previously written for outlets including the Los Angeles Times, BuzzFeed and Newsweek.",2023-12-28,"Tom Smothers was a ""one-of-a-kind creative partner,"" his brother says. The duo ""satirized politics, combated racism, protested the Vietnam War, and led the way forSaturday Night Live,"" National Comedy Center says."
Las Vegas sets up pop-up airport license bureau for New Year's wedding rush,https://www.cbsnews.com/news/las-vegas-new-years-eve-2023-wedding-rush/,"If you're having a destination New Year's Eve wedding in Las Vegas, you could get your marriage license as you step off the plane. Clark County has takenan unconventional step to help handle the thousands of weddings expected to be held in the city on New Year's Eve by opening a temporary marriage license bureau at Las Vegas' Harry Reid International Airport. The thousands of weddings expected on what is normally a big holiday could even set a record ??thanks in part to the date, which this year creates a repeating numerical sequence of 1-2-3-1-2-3. In the industry, that repeating date is known as a ""specialty date,"" according to the Associated Press. There were similar lines on April 3, 2021 (4/3/21) and Dec. 13, 2014 (12/13/14), according to county clerk Lynn Goya in a 2021 interview with the Associated Press. These dates are ""always immensely popular,"" said Goya, noting that more than 1,800 tied the knot on Dec. 13, 2014. The number to beat this New Year's Eve is 4,492. That record was set on July 7, 2007 - or 7/7/07. The Associated Press said that since 2018, the city typically records between 450 and 550 New Year's Eve marriages, but multiple wedding venues and planning companies said they are expecting far more ceremonies this year. A pop-up Marriage License Bureau will open at Harry Reid International Airport from Dec. 26 to Dec. 31 to capture travelers looking to get married on New Year?檚 Eve for its double whammy of a holiday and the date?檚 rare numerical sequence of 1-2-3-1-2-3. pic.twitter.com/ULwznlIYmE ""It's a double whammy,"" said Melody Willis-Williams, president of Vegas Weddings in an interview with the Associated Press. ""Anytime you get these specialty dates, they're always hugely popular. But tie that in with New Year's Eve and it's a showstopper."" Willis-Williams said the company expects to marry more than 120 couples on New Year's Eve, with some of those couples waiting for the final countdown to midnight to say ""I do."" Willis-Williams said that the company's multiple venues are all fully booked at midnight. The pop-up marriage bureau at the airport is a simpler affair, located in one of the airport's terminals near a baggage pickup carousel. Those looking to get their marriage licenses or vow renewal certificates there can do so between Dec. 26 and Dec. 31, with the pop-up closing at 5 p.m. local time each evening. Kerry Breen is a reporter and news editor at CBSNews.com. A graduate of New York University's Arthur L. Carter School of Journalism, she previously worked at NBC News' TODAY Digital. She covers current events, breaking news and issues including substance use.",2023-12-28,"A pop-up Marriage License Bureau will open at Harry Reid International Airport from Dec. 26 to Dec. 31. The city typically records between 450 and 550 New Year's Eve marriages, but multiple wedding venues and planning companies said they are expecting far more ceremonies this year."
Massive fire temporarily shuts down interstate in Louisville,https://www.cbsnews.com/news/fire-interstate-louisville-kentucky/,"A huge fire broke out in Louisville, Kentucky, early Wednesday, sending thick smoke plumes into the air over a portion of I-64 in the city's Portland neighborhood and shutting down the highway in both directions. The highway had reopened by noon. Firefighters were called to the scene of the blaze at around 4 a.m. local time, said Donovan Sims, the public information officer for the Louisville Fire Department. Sims told CBS News that crews quickly contained the fire, and no one was injured. The fire originated inside a vacant, one-story commercial building located near one side of the highway. Video footage from the scene that the Louisville Fire Department shared with CBS News showed the structure completely ablaze before sunrise. Additional footage shared later by CBS affiliateWLKY showed the flames extinguished, although at the time some traffic disruptions remained, the station reported. Earlier, all eastbound and westbound lanes were blocked along a stretch of I-64, transportation officials announced on social media. They said several hours after the fire broke out that inspectors were on site to evaluate a nearby bridge on the interstate, and noted that the portion of I-64 surrounding it would likely remain closed for a while. KYTC bridge inspectors are on site and assessing the I-64 West bridge near mile marker 3.4, following a nearby building fire. This portion of I-64 West is anticipated to be closed for several hours and motorists are advised to seek an alternate route. https://t.co/nAj6pXSZit The vacant building where Wednesday's blaze ignited has caught fire before. Sims told CBS News that Louisville firefighters have responded to two fires at the site in the last year alone, with a car fire causing at least one of those incidents. What caused the blaze Wednesday morning is still under investigation. Sims said an arson team was on-site evaluating the situation along with other fire officials. Emily Mae Czachor is a reporter and news editor at CBSNews.com. She covers breaking news, often focusing on crime and extreme weather. Emily Mae has previously written for outlets including the Los Angeles Times, BuzzFeed and Newsweek.",2023-12-28,"A huge fire broke out in Louisville, Kentucky, early Wednesday, sending thick smoke plumes into the air over a portion of I-64. Firefighters were called to the scene of the blaze at around 4 a.m. local time, and no one was injured. The fire"
